Position,Template,Phylum,Location,Station,Date,time,Local name,Location details,Depth,Habitat description,Salinity,Tidel,Lat,Long
D09,JN1483.01,Nemertea,Panama_Naos-Pacific,11,12.06.2011,10h00m,Las Perlas,Las Perlas,20m,"Dive 1, coarse sand, with shells, sponges, etc…",30,medium level tide 2.5m,8.387825,79.12551667
E09,JN1464.02,Nemertea,Panama_Naos-Pacific,29,12.12.2011,10h00m,Dive 2,Isla Bartolome,intertidal,"Coraline sand, very coarse to medium",28,low tide 0.5m,8.671077778,79.064875
F09,blank,blank,blank,,,,,,,,,,,
G09,blank,blank,blank,,,,,,,,,,,
H09,blank,blank,blank,,,,,,,,,,,
A10,JN1463.01,Nemertea,Panama_Naos-Pacific,,,,,,,,,,,
B10,JN1458.04,Nemertea,Panama_Naos-Pacific,,,,,,,,,,,
C10,JN1475.01,Nemertea,Panama_Naos-Pacific,22,12.09.2011,09h00m,Coral reef,Taboga,10-6m,"mixed sediments, medium to coarse close to coral reef",30,low tide 0.6m,8.782305556,79.53695
D10,JN1484.01,Nemertea,Panama_Naos-Pacific,29,12.12.2011,10h00m,Dive 2,Isla Bartolome,intertidal,"Coraline sand, very coarse to medium",28,low tide 0.5m,8.671077778,79.064875
E10,JN1455.04,Nemertea,Panama_Naos-Pacific,1,12.01.2011,15h25m,Naos beach,Front of Naos lab,intertidal,"Shelly coarse sand, gravels and fine sediment",,Low tide 0.63,8.915833333,79.530575
F10,blank,blank,blank,,,,,,,,,,,
G10,blank,blank,blank,,,,,,,,,,,
H10,blank,blank,blank,,,,,,,,,,,
A11,JN1465.01,Nemertea,Panama_Naos-Pacific,,,,,,,,,,,
B11,JN1469.01,Nemertea,Panama_Naos-Pacific,,,,,,,,,,,
C11,JN1463.03,Nemertea,Panama_Naos-Pacific,22,12.09.2011,09h00m,Coral reef,Taboga,10-6m,"mixed sediments, medium to coarse close to coral reef",30,low tide 0.6m,8.782305556,79.53695
D11,JN1467.06,Nemertea,Panama_Naos-Pacific,29,12.12.2011,10h00m,Dive 2,Isla Bartolome,intertidal,"Coraline sand, very coarse to medium",28,low tide 0.5m,8.671077778,79.064875
E11,JN1472.03,Nemertea,Panama_Naos-Pacific,28a,12.12.2011,10h00m,Beach,Isla Pacheco,intertidal,"Pebbles, beach",28,low tide 0.5m,8.672858333,79.06093333
F11,blank,blank,blank,,,,,,,,,,,
G11,blank,blank,blank,,,,,,,,,,,
H11,blank,blank,blank,,,,,,,,,,,
A12,JN1461.07,Nemertea,Panama_Naos-Pacific,,,,,,,,,,,
B12,JN1456.05,Nemertea,Panama_Naos-Pacific,,,,,,,,,,,
C12,JN1462.02,Nemertea,Panama_Naos-Pacific,22,12.09.2011,09h00m,Coral reef,Taboga,10-6m,"mixed sediments, medium to coarse close to coral reef",30,low tide 0.6m,8.782305556,79.53695
D12,JN1472.02,Nemertea,Panama_Naos-Pacific,29,12.12.2011,10h00m,Dive 2,Isla Bartolome,intertidal,"Coraline sand, very coarse to medium",28,low tide 0.5m,8.671077778,79.064875
E12,JN1472.04,Nemertea,Panama_Naos-Pacific,28a,12.12.2011,10h00m,Beach,Isla Pacheco,intertidal,"Pebbles, beach",28,low tide 0.5m,8.672858333,79.06093333
F12,blank,blank,blank,,,,,,,,,,,
G12,blank,blank,blank,,,,,,,,,,,
H12,blank,blank,blank,,,,,,,,,,,
